,Unnamed: 0,Type,ComplexID,ID,Name,Street,District,Date,Discount,URL,FullName,Rooms,MaxTotalArea,MaxPPSM,MaxTotalPrice,MinTotalArea,MinPPSM,MinTotalPrice,TotalArea,TotalPrice,PPSM,Location
44,143,car,118,122,"вул. Срібнокільська, 3-Г","Позняки-10-Б, вул. Срібнокільська, 3",Дарницький р-н,введений,-30%,https://kmb.ua/objects/122-vul-sribnokilska-3/,"вул. Срібнокільська, 3-Г Позняки-10-Б, вул. Срібнокільська, 3",,,,9999999.0,,,90750.0,,0.09-10.0 млн. грн.,,"50.4005242, 30.6322168"
45,147,car,122,126,"вул. К.Затон, 21 парк. 1-5","Позняки-10-А, діл. 1, 2, 3, 4, 5",Дарницький р-н,введений,-25%,,"вул. К.Затон, 21 парк. 1-5 Позняки-10-А, діл. 1, 2, 3, 4, 5",,,,9999999.0,,,169950.0,,0.17-10.0 млн. грн.,,"50.4007178, 30.6166267"
46,145,car,120,124,"вул. Срібнокільска, 1 парк. 1-4","Позняки-10-Б, на перетині вул.Княжий Затон і вул. Срібнокільська,  парк 1-4",Дарницький р-н,введений,-30%,,"вул. Срібнокільска, 1 парк. 1-4 Позняки-10-Б, на перетині вул.Княжий Затон і вул. Срібнокільська,  парк 1-4",,,,9999999.0,,,123750.0,,0.12-10.0 млн. грн.,,"50.4021055, 30.63080399999999"
47,10,flat,5,6,ЖК — Драгоманова,вул. Драгоманова. 35,Дарницький р-н,введений,20%,https://kmb.ua/objects/12-zhk-vul-dragomanova-35/,ЖК — Драгоманова (вул. Драгоманова. 35),5 комнат,167.7,24394.0,4090874.0,167.7,24394.0,4090874.0,167.7-167.7 кв м.,4.09-4.09 млн. грн.,24.4-24.4 тис. грн.,"50.40681350000001, 30.636582"
48,9,flat,4,5,ЖК — Горловская,вул. Горлівська. 215 (а.б.в),Дарницький р-н,введений,"При 100% оплаті:-10%_x000D_
При 50% оплаті: -5%",https://kmb.ua/objects/5-zhk-vul-gorlivska-215-a-b-v/,ЖК — Горловская (вул. Горлівська. 215 (а.б.в)),3 комнаты,119.38,18025.0,2151825.0,119.38,18025.0,2151825.0,119.38-119.38 кв м.,2.15-2.15 млн. грн.,18.0-18.0 тис. грн.,"50.407061, 30.6730912"
49,155,noflat,201,203,"ж/м Позняки-4, буд.28","вул.Пчілки, 3а",Дарницький р-н,,20%,https://kmb.ua/objects/102-zhk-vul-o-pchilki-3-a/,"ж/м Позняки-4, буд.28 вул.Пчілки, 3а",Творчі майстерні,80.5,18000.0,1449000.0,67.2,18000.0,1209600.0,67.2-80.5 кв м.,1.21-1.45 млн. грн.,,"50.4085413, 30.6751768"
50,70,flat,13,29,ЖК — Медовий,"вул. П.Радченка, 27-29 буд. № 1",Солом'янський р-н,12.2019,"При 100% оплаті:_x000D_
- 10%_x000D_
При 50% оплаті:_x000D_
- 5%_x000D_
",https://kmb.ua/objects/274-zhk-medovij/,"ЖК — Медовий (вул. П.Радченка, 27-29 буд. № 1)",1 комната,39.94,20400.0,814776.0,36.25,19992.0,724710.0,36.25-39.94 кв м.,0.72-0.81 млн. грн.,20.0-20.4 тис. грн.,"50.4128835, 30.475994"
51,71,flat,13,29,ЖК — Медовий,"вул. П.Радченка, 27-29 буд. № 1",Солом'янський р-н,12.2019,"При 100% оплаті:_x000D_
- 10%_x000D_
При 50% оплаті:_x000D_
- 5%_x000D_
",https://kmb.ua/objects/274-zhk-medovij/,"ЖК — Медовий (вул. П.Радченка, 27-29 буд. № 1)",2 комнаты,61.94,19720.0,1221457.0,61.94,19326.0,1197052.0,61.94-61.94 кв м.,1.2-1.22 млн. грн.,19.3-19.7 тис. грн.,"50.4128835, 30.475994"
52,72,flat,13,29,ЖК — Медовий,"вул. П.Радченка, 27-29 буд. № 1",Солом'янський р-н,12.2019,"При 100% оплаті:_x000D_
- 10%_x000D_
При 50% оплаті:_x000D_
- 5%_x000D_
",https://kmb.ua/objects/274-zhk-medovij/,"ЖК — Медовий (вул. П.Радченка, 27-29 буд. № 1)",3 комнаты,80.36,19380.0,1541787.0,71.24,18992.0,1366811.0,71.24-80.36 кв м.,1.37-1.54 млн. грн.,19.0-19.4 тис. грн.,"50.4128835, 30.475994"
53,73,flat,13,29,ЖК — Медовий,"вул. П.Радченка, 27-29 буд. № 1",Солом'янський р-н,12.2019,"При 100% оплаті:_x000D_
- 10%_x000D_
При 50% оплаті:_x000D_
- 5%_x000D_
",https://kmb.ua/objects/274-zhk-medovij/,"ЖК — Медовий (вул. П.Радченка, 27-29 буд. № 1)",5 комнат,145.38,18176.0,2642427.0,145.38,18176.0,2642427.0,145.38-145.38 кв м.,2.64-2.64 млн. грн.,18.2-18.2 тис. грн.,"50.4128835, 30.475994"
